2022-12-03 16:23:19,734 | INFO | Tello instance was initialized. Host: '192.168.10.1'. Port: '8889'.
2022-12-03 16:23:19,734 | INFO | Trying to connect to the drone now!
2022-12-03 16:23:19,741 | INFO | Send command: 'command'
2022-12-03 16:23:19,852 | INFO | Response command: 'ok'
2022-12-03 16:23:23,169 | INFO | Send command: 'mon'
2022-12-03 16:23:23,283 | INFO | Response mon: 'ok'
2022-12-03 16:23:23,283 | INFO | Send command: 'mdirection 0'
2022-12-03 16:23:23,392 | INFO | Response mdirection 0: 'ok'
2022-12-03 16:23:23,392 | INFO | Send command: 'motoron'
2022-12-03 16:23:23,611 | INFO | Response motoron: 'ok'
2022-12-03 16:23:23,626 | INFO | Send command: 'takeoff'
2022-12-03 16:23:27,336 | INFO | Send command: 'forward 20'
2022-12-03 16:23:27,886 | INFO | Response forward 20: 'error Not joystick'
2022-12-03 16:23:27,902 | INFO | Send command: 'forward 20'
2022-12-03 16:23:28,564 | INFO | Response forward 20: 'error Not joystick'
2022-12-03 16:23:28,579 | INFO | Send command: 'forward 20'
2022-12-03 16:23:29,113 | INFO | Response takeoff: 'error Not joystick'
2022-12-03 16:23:29,128 | INFO | Send command: 'takeoff'
2022-12-03 16:23:29,234 | INFO | Send command: 'forward 20'
2022-12-03 16:23:29,235 | INFO | Response forward 20: 'error'
2022-12-03 16:23:29,235 | INFO | Send command: 'forward 20'
2022-12-03 16:23:29,782 | INFO | Response forward 20: 'error Not joystick'
2022-12-03 16:23:29,798 | INFO | Send command: 'forward 20'
2022-12-03 16:23:30,775 | INFO | Response takeoff: 'ok'
2022-12-03 16:23:31,580 | INFO | Send command: 'forward 20'
2022-12-03 16:23:32,308 | INFO | Response forward 20: 'ok'
2022-12-03 16:23:35,507 | INFO | Send command: 'left 20'
2022-12-03 16:23:36,734 | INFO | Send command: 'left 20'
2022-12-03 16:23:36,822 | INFO | Response left 20: 'ok'
2022-12-03 16:23:36,822 | WARNING | Aborting command 'forward 20'. Did not receive a response after 7 seconds
2022-12-03 16:23:37,930 | INFO | Response left 20: 'ok'
2022-12-03 16:23:38,585 | WARNING | Aborting command 'forward 20'. Did not receive a response after 7 seconds
2022-12-03 16:23:38,585 | INFO | Send command: 'forward 20'
2022-12-03 16:23:38,634 | INFO | Send command: 'down 20'
2022-12-03 16:23:39,751 | INFO | Send command: 'down 20'
2022-12-03 16:23:40,837 | INFO | Response down 20: 'ok'
2022-12-03 16:23:41,294 | INFO | Send command: 'down 20'
2022-12-03 16:23:43,174 | INFO | Response down 20: 'ok'
2022-12-03 16:23:43,811 | INFO | Send command: 'down 20'
2022-12-03 16:23:44,537 | INFO | Send command: 'down 20'
2022-12-03 16:23:45,563 | INFO | Send command: 'down 20'
2022-12-03 16:23:45,624 | WARNING | Aborting command 'forward 20'. Did not receive a response after 7 seconds
2022-12-03 16:23:45,624 | INFO | Send command: 'forward 20'
2022-12-03 16:23:45,999 | INFO | Response down 20: 'ok'
2022-12-03 16:23:46,778 | WARNING | Aborting command 'down 20'. Did not receive a response after 7 seconds
2022-12-03 16:23:46,778 | INFO | Send command: 'down 20'
2022-12-03 16:23:47,160 | INFO | Send command: 'up 20'
2022-12-03 16:23:48,078 | INFO | Send command: 'up 20'
2022-12-03 16:23:48,729 | INFO | Response down 20: 'ok'
2022-12-03 16:23:49,598 | INFO | Send command: 'up 20'
2022-12-03 16:23:50,006 | INFO | Send command: 'up 20'
2022-12-03 16:23:51,533 | INFO | Response up 20: 'ok'
2022-12-03 16:23:51,643 | WARNING | Aborting command 'down 20'. Did not receive a response after 7 seconds
2022-12-03 16:23:51,643 | INFO | Send command: 'down 20'
2022-12-03 16:23:52,632 | WARNING | Aborting command 'forward 20'. Did not receive a response after 7 seconds
2022-12-03 16:23:52,708 | INFO | Send command: 'backward 20'
2022-12-03 16:23:52,744 | INFO | Response down 20: 'unknown command: backward'
2022-12-03 16:23:52,760 | INFO | Send command: 'down 20'
2022-12-03 16:23:53,799 | WARNING | Aborting command 'down 20'. Did not receive a response after 7 seconds
2022-12-03 16:23:53,800 | INFO | Send command: 'down 20'
2022-12-03 16:23:54,254 | INFO | Response backward 20: 'ok'
2022-12-03 16:23:54,674 | INFO | Send command: 'backward 20'
2022-12-03 16:23:54,681 | INFO | Response down 20: 'unknown command: backward'
2022-12-03 16:23:55,100 | WARNING | Aborting command 'up 20'. Did not receive a response after 7 seconds
2022-12-03 16:23:55,100 | INFO | Send command: 'up 20'
2022-12-03 16:23:56,631 | WARNING | Aborting command 'up 20'. Did not receive a response after 7 seconds
2022-12-03 16:23:56,632 | INFO | Send command: 'up 20'
2022-12-03 16:23:57,021 | INFO | Response up 20: 'ok'
2022-12-03 16:23:59,797 | WARNING | Aborting command 'down 20'. Did not receive a response after 7 seconds
2022-12-03 16:24:00,076 | INFO | Send command (no response expected): 'emergency'
2022-12-03 16:24:01,693 | WARNING | Aborting command 'backward 20'. Did not receive a response after 7 seconds
2022-12-03 16:24:01,693 | INFO | Send command: 'backward 20'
2022-12-03 16:24:01,787 | INFO | Response up 20: 'unknown command: backward'
2022-12-03 16:24:01,803 | INFO | Send command: 'up 20'
2022-12-03 16:24:01,913 | INFO | Response backward 20: 'error Motor stop'
2022-12-03 16:24:01,929 | INFO | Send command: 'backward 20'
2022-12-03 16:24:02,024 | INFO | Response up 20: 'unknown command: backward'
2022-12-03 16:24:02,134 | WARNING | Aborting command 'up 20'. Did not receive a response after 7 seconds
2022-12-03 16:24:02,135 | INFO | Send command: 'up 20'
2022-12-03 16:24:02,244 | INFO | Response up 20: 'error Motor stop'
2022-12-03 16:24:09,032 | WARNING | Aborting command 'backward 20'. Did not receive a response after 7 seconds
