2022-12-06 10:31:38,179 | INFO | Tello instance was initialized. Host: '192.168.10.1'. Port: '8889'.
2022-12-06 10:31:38,179 | INFO | Trying to connect to the drone now!
2022-12-06 10:31:45,859 | INFO | Send command: 'up 50'
2022-12-06 10:31:52,896 | WARNING | Aborting command 'up 50'. Did not receive a response after 7 seconds
2022-12-06 10:31:52,896 | INFO | Send command: 'up 50'
2022-12-06 10:31:53,590 | INFO | Send command: 'up 50'
2022-12-06 10:31:55,337 | INFO | Send command: 'right 50'
2022-12-06 10:31:56,964 | INFO | Send command: 'left 50'
2022-12-06 10:31:58,436 | INFO | Send command: 'down 50'
2022-12-06 10:31:59,968 | WARNING | Aborting command 'up 50'. Did not receive a response after 7 seconds
2022-12-06 10:31:59,968 | INFO | Send command: 'up 50'
2022-12-06 10:32:00,623 | INFO | Send command: 'mon'
2022-12-06 10:32:00,657 | WARNING | Aborting command 'up 50'. Did not receive a response after 7 seconds
2022-12-06 10:32:00,657 | INFO | Send command: 'up 50'
2022-12-06 10:32:02,410 | WARNING | Aborting command 'right 50'. Did not receive a response after 7 seconds
2022-12-06 10:32:02,411 | INFO | Send command: 'right 50'
2022-12-06 10:32:04,019 | WARNING | Aborting command 'left 50'. Did not receive a response after 7 seconds
2022-12-06 10:32:04,020 | INFO | Send command: 'left 50'
2022-12-06 10:32:04,037 | INFO | Send command: 'forward 50'
2022-12-06 10:32:05,524 | WARNING | Aborting command 'down 50'. Did not receive a response after 7 seconds
2022-12-06 10:32:05,525 | INFO | Send command: 'down 50'
2022-12-06 10:32:05,602 | INFO | Send command: 'forward 50'
2022-12-06 10:32:07,049 | WARNING | Aborting command 'up 50'. Did not receive a response after 7 seconds
2022-12-06 10:32:07,567 | INFO | Send command: 'forward 50'
2022-12-06 10:32:07,646 | WARNING | Aborting command 'mon'. Did not receive a response after 7 seconds
2022-12-06 10:32:07,646 | INFO | Send command: 'mon'
2022-12-06 10:32:07,755 | WARNING | Aborting command 'up 50'. Did not receive a response after 7 seconds
2022-12-06 10:32:07,755 | INFO | Send command: 'up 50'
2022-12-06 10:32:09,471 | WARNING | Aborting command 'right 50'. Did not receive a response after 7 seconds
2022-12-06 10:32:09,471 | INFO | Send command: 'right 50'
2022-12-06 10:32:11,077 | WARNING | Aborting command 'left 50'. Did not receive a response after 7 seconds
2022-12-06 10:32:11,077 | INFO | Send command: 'left 50'
2022-12-06 10:32:11,092 | WARNING | Aborting command 'forward 50'. Did not receive a response after 7 seconds
2022-12-06 10:32:11,092 | INFO | Send command: 'forward 50'
2022-12-06 10:32:12,573 | WARNING | Aborting command 'down 50'. Did not receive a response after 7 seconds
2022-12-06 10:32:12,574 | INFO | Send command: 'down 50'
2022-12-06 10:32:12,666 | WARNING | Aborting command 'forward 50'. Did not receive a response after 7 seconds
2022-12-06 10:32:12,666 | INFO | Send command: 'forward 50'
2022-12-06 10:32:14,618 | WARNING | Aborting command 'forward 50'. Did not receive a response after 7 seconds
2022-12-06 10:32:14,619 | INFO | Send command: 'forward 50'
2022-12-06 10:32:14,694 | WARNING | Aborting command 'mon'. Did not receive a response after 7 seconds
2022-12-06 10:32:14,694 | INFO | Send command: 'mon'
2022-12-06 10:32:14,795 | WARNING | Aborting command 'up 50'. Did not receive a response after 7 seconds
