2022-12-03 16:32:51,275 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:51,276 | INFO | Send command: 'right 20'
2022-12-03 16:32:51,384 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:51,385 | INFO | Send command: 'right 20'
2022-12-03 16:32:51,574 | INFO | Response right 20: 'ok'
2022-12-03 16:32:51,622 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:51,684 | INFO | Send command: 'right 20'
2022-12-03 16:32:51,747 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:51,747 | INFO | Send command: 'right 20'
2022-12-03 16:32:52,125 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:52,125 | INFO | Send command: 'right 20'
2022-12-03 16:32:52,141 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:52,141 | INFO | Send command: 'right 20'
2022-12-03 16:32:52,297 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:52,298 | INFO | Send command: 'right 20'
2022-12-03 16:32:52,453 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:52,454 | INFO | Send command: 'right 20'
2022-12-03 16:32:52,579 | INFO | Send command: 'forward 20'
2022-12-03 16:32:52,608 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:52,608 | INFO | Send command: 'right 20'
2022-12-03 16:32:52,841 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:52,842 | INFO | Send command: 'right 20'
2022-12-03 16:32:53,027 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:53,028 | INFO | Send command: 'right 20'
2022-12-03 16:32:53,596 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:53,596 | INFO | Send command: 'right 20'
2022-12-03 16:32:53,799 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:53,800 | INFO | Send command: 'right 20'
2022-12-03 16:32:53,843 | INFO | Send command: 'forward 20'
2022-12-03 16:32:53,862 | INFO | Response right 20: 'ok'
2022-12-03 16:32:53,987 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:53,988 | INFO | Send command: 'right 20'
2022-12-03 16:32:54,222 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:55,659 | INFO | Response forward 20: 'ok'
2022-12-03 16:32:56,211 | WARNING | Aborting command 'back 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:56,211 | INFO | Send command: 'back 20'
2022-12-03 16:32:56,397 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:56,403 | INFO | Send command: 'forward 20'
2022-12-03 16:32:56,648 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:57,400 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
