2022-12-03 16:20:12,456 | INFO | Tello instance was initialized. Host: '192.168.10.1'. Port: '8889'.
2022-12-03 16:20:12,457 | INFO | Trying to connect to the drone now!
2022-12-03 16:20:16,735 | INFO | Send command: 'mon'
2022-12-03 16:20:21,542 | INFO | Send command: 'mon'
2022-12-03 16:20:23,760 | WARNING | Aborting command 'mon'. Did not receive a response after 7 seconds
2022-12-03 16:20:23,761 | INFO | Send command: 'mon'
2022-12-03 16:20:28,556 | WARNING | Aborting command 'mon'. Did not receive a response after 7 seconds
2022-12-03 16:20:28,557 | INFO | Send command: 'mon'
2022-12-03 16:20:30,870 | WARNING | Aborting command 'mon'. Did not receive a response after 7 seconds
2022-12-03 16:20:30,871 | INFO | Send command: 'mon'
